"YearBuilt","YearRemodeled","Condition","FinSqFt","Bedroom","FullBath","HalfBath","LotSize","TotalValue","City"
2006,0,"Average",1922,3,3,0,5,409900,"CROZET"
2003,0,"Average",1848,3,2,0,61.189,523100,"CROZET"
1972,0,"Average",1248,2,1,0,1.76,180900,"EARLYSVILLE"
1998,0,"Good",1244,1,1,0,50.648,620700,"CROZET"
1886,0,"Average",1861,4,1,0,3.88,162500,"CROZET"
1910,0,"Fair",1108,3,1,0,8.838,167200,"CROZET"
1900,0,"Poor",728,2,0,0,70,1016500,"EARLYSVILLE"
1975,1982,"Average",1520,3,1,0,2.03,151900,"CROZET"
1940,1987,"Fair",812,2,0,0,0.25,48500,"CROZET"
2008,0,"Good",1998,3,2,1,4,355700,"EARLYSVILLE"
1975,0,"Average",1479,3,1,1,1,215200,"EARLYSVILLE"
1994,0,"Good",1004,3,1,1,6.081,215800,"EARLYSVILLE"
2016,0,"Good",2842,3,2,1,3.199,467500,"EARLYSVILLE"
1958,0,"Average",912,2,1,0,0.55,120700,"CROZET"
1978,0,"Average",1500,3,3,0,21.489,358500,"CROZET"
1989,0,"Average",3017,4,3,0,22.978,1036500,"CROZET"
1997,0,"Average",1232,2,2,0,2,213800,"CROZET"
1984,0,"Average",1252,2,2,0,23,494900,"CROZET"
1985,0,"Average",1892,3,1,1,3.27,242200,"EARLYSVILLE"
2011,0,"Average",972,3,2,0,12.102,262600,"EARLYSVILLE"
1977,0,"Average",1188,3,1,0,2.006,214900,"EARLYSVILLE"
1956,0,"Fair",896,1,1,0,13.52,268900,"EARLYSVILLE"
1981,0,"Average",1879,3,2,0,16.423,360400,"EARLYSVILLE"
1986,0,"Average",1032,3,1,1,3.389,172400,"EARLYSVILLE"
1983,0,"Average",1037,3,1,0,2.029,101600,"CROZET"
1962,0,"Fair",864,3,1,0,0.62,47700,"CROZET"
1940,0,"Average",1731,5,1,0,11.24,154000,"CROZET"
1990,0,"Average",1592,4,2,0,3.6,294100,"CROZET"
1987,0,"Average",3255,2,2,0,5.007,454700,"CROZET"
1985,0,"Average",1438,2,2,0,4.261,346000,"CROZET"
1978,2007,"Average",2399,3,2,1,5,466600,"CROZET"
2010,0,"Average",1400,3,2,0,2.51,262200,"EARLYSVILLE"
2005,0,"Good",2791,4,3,1,5.474,660400,"EARLYSVILLE"
1978,0,"Good",1112,3,1,1,2.07,215900,"EARLYSVILLE"
1967,0,"Good",1542,3,2,1,2.01,209500,"EARLYSVILLE"
1902,0,"Average",3326,3,3,0,1.01,346500,"EARLYSVILLE"
1990,0,"Good",1576,3,2,1,3.083,289900,"EARLYSVILLE"
1991,0,"Good",1582,3,3,0,5,277600,"EARLYSVILLE"
1996,0,"Good",2353,3,2,1,2.68,322500,"EARLYSVILLE"
